date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-02-16,757103.82,242896.18,1000000.0,0.0,0.0,2646.7
2026-02-24,757103.82,265386.89,1022490.71,22490.71,2.25,2654.63
