ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
AM,391,22.97,22.59,8832.69,-148.58,-1.65,21.13,27.56,2026-03-06,Energy,22.97,-62.56,-0.7
AMPY,1474,6.1,5.11,7532.14,-1459.26,-16.23,5.61,7.32,2026-03-06,Energy,6.32,-1164.46,-13.39
AVIR,1527,5.89,6.05,9238.35,244.32,2.72,5.42,7.07,2026-03-06,Healthcare,6.3,-152.7,-1.63
ANNA,1465,4.09,2.91,4263.15,-1728.7,-28.85,3.76,4.91,2026-03-06,Energy,4.09,-966.9,-18.49
APA,180,32.68,31.82,5727.6,-154.8,-2.63,30.07,39.22,2026-03-06,Energy,33.46,-138.6,-2.36
