ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
COP,754,127.5377,131.42,99090.68,2927.25,3.04,117.34,157.91,2026-04-01,Energy,133.84,671.06,0.68
MPC,409,241.35,241.38,98724.42,12.27,0.01,222.04,295.66,2026-04-06,Energy,241.38,12.27,0.01
VLO,403,244.78,244.91,98700.74,54.4,0.06,225.19,299.87,2026-04-06,Energy,244.91,54.4,0.06
CTRA,2839,34.66,34.6,98243.59,-156.15,-0.16,31.89,42.47,2026-04-06,Energy,34.66,-156.14,-0.16
DVN,1991,49.58,49.53,98614.23,-99.55,-0.1,45.61,60.73,2026-04-06,Energy,49.58,-99.55,-0.1
EOG,340,143.12,142.96,48604.7,-56.1,-0.12,131.67,175.32,2026-04-06,Energy,143.12,-56.1,-0.12
