ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
WMS,430,139.44,140.08,60234.4,275.2,0.46,121.0,172.0,2026-04-06,Industrials,143.53,1758.7,2.93
UFPI,550,90.29,90.68,49874.0,214.5,0.43,78.0,112.0,2026-04-06,Basic Materials,90.78,-247.5,-0.5
CSL,180,331.17,330.52,59493.6,-117.0,-0.2,288.0,400.0,2026-04-06,Industrials,331.91,-97.2,-0.16
RPM,520,97.08,97.26,50575.2,93.6,0.19,84.0,118.0,2026-04-06,Basic Materials,97.41,0.0,0.0
BLD,85,358.53,357.9,30421.5,-53.55,-0.18,310.0,430.0,2026-04-06,Industrials,360.39,-374.0,-1.23
MAS,700,59.34,59.58,41706.0,168.0,0.4,51.5,72.0,2026-04-06,Industrials,59.83,343.0,0.83
IEX,200,190.02,194.57,38914.0,910.0,2.39,165.0,228.0,2026-04-06,Industrials,194.57,910.0,2.39
