date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-29,2000000.0,0.0,2000000.0,0.0,0.0,58.29
2026-03-30,2000000.0,0.0,2000000.0,0.0,0.0,4.83
