ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
BTE,46572,4.4,4.4,204916.8,0.0,0.0,4.18,4.84,2026-04-06,Energy,4.45,2328.6,1.14
ACTG,41027,4.995,5.02,205955.54,1025.67,0.5,4.74,5.6,2026-04-06,Industrials,5.02,1025.67,0.5
HG,6750,30.35,30.7,207225.0,2362.5,1.15,28.83,34.6,2026-04-06,Financial Services,30.7,2362.5,1.15
