ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high,sector
EXAS,238,104.91,104.95,24977.27,8.69,0.03,96.5,124.0,2026-03-30,0.0,0.0,104.95,
ALKS,290,33.965,34.25,9932.5,82.65,0.84,31.43,39.91,2026-04-06,82.65,0.84,34.25,Healthcare
ONTO,52,219.96,220.61,11471.72,33.8,0.3,202.79,256.0,2026-04-06,33.8,0.3,220.72,Technology
