ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,sector,price_high,day_change,day_change_pct
DVN,4400,49.65,49.9,219560.0,1100.0,0.5,46.5,54.5,2026-04-06,Energy,49.9,-49.28,-0.02
PYPL,5180,45.3801,45.24,234343.2,-725.72,-0.31,42.56,49.8,2026-04-06,Financial Services,45.38,0.0,0.0
NSC,537,278.4307,285.8,153474.6,3957.31,2.65,262.92,299.65,2026-04-06,Industrials,285.8,0.0,0.0
OXY,1463,62.85,63.51,92915.13,965.58,1.05,59.31,67.91,2026-04-06,Energy,63.51,0.0,0.0
