ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date
DTM,56,141.2,141.2,7907.2,0.0,0.0,131.32,169.44,2026-03-02
FHN,124,24.1,24.1,2988.4,0.0,0.0,22.41,28.92,2026-03-02
