transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
417271fc,2026-02-24,MPC,BUY,2048,195.29,399953.92,179.67,234.35,SIGNAL,BULL,73.7,"{""momentum"": 68.5, ""volatility"": 58.4, ""volume"": 40.7, ""relative_strength"": 87.0, ""mean_reversion"": 91.5, ""rsi"": 90.0, ""composite"": 73.7}",
ff793a0e,2026-02-24,ETR,BUY,3802,105.2,399970.4,96.78,126.24,SIGNAL,BULL,67.8,"{""momentum"": 75.7, ""volatility"": 75.7, ""volume"": 42.1, ""relative_strength"": 75.5, ""mean_reversion"": 72.2, ""rsi"": 55.0, ""composite"": 67.8}",
aa4ab524,2026-02-24,NEE,BUY,4180,95.68,399942.4,88.03,114.82,SIGNAL,BULL,65.8,"{""momentum"": 78.6, ""volatility"": 75.5, ""volume"": 47.3, ""relative_strength"": 75.8, ""mean_reversion"": 71.2, ""rsi"": 35.0, ""composite"": 65.8}",
4b55eec0,2026-02-24,INTC,BUY,6500,46.12,299780.0,42.43,55.34,SIGNAL,BULL,60.2,"{""momentum"": 77.0, ""volatility"": 3.6, ""volume"": 37.4, ""relative_strength"": 63.8, ""mean_reversion"": 89.4, ""rsi"": 70.0, ""composite"": 60.2}",
25699f4f,2026-02-24,ILMN,BUY,3800,105.2,399760.0,96.78,126.24,SIGNAL,BULL,61.9,"{""momentum"": 75.7, ""volatility"": 75.7, ""volume"": 42.1, ""relative_strength"": 49.6, ""mean_reversion"": 72.2, ""rsi"": 55.0, ""composite"": 61.9}",
