transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
2f897db6,2026-03-01,APA,BUY,49,30.37,1488.13,28.85,36.44,SIGNAL,BULL,74.3,"{""momentum"": 91.6, ""volatility"": 44.9, ""volume"": 53.8, ""relative_strength"": 85.7, ""mean_reversion"": 54.6, ""rsi"": 75.0, ""composite"": 74.3}",
2b005471,2026-03-01,CRGY,BUY,128,11.66,1492.48,11.08,13.99,SIGNAL,BULL,73.6,"{""momentum"": 100, ""volatility"": 36.3, ""volume"": 60.1, ""relative_strength"": 96.6, ""mean_reversion"": 31.1, ""rsi"": 55.0, ""composite"": 73.6}",
f6a3e50a,2026-03-01,MPC,BUY,7,198.21,1387.47,188.3,237.85,SIGNAL,BULL,75.9,"{""momentum"": 75.3, ""volatility"": 58.1, ""volume"": 53.4, ""relative_strength"": 80.9, ""mean_reversion"": 94.2, ""rsi"": 90.0, ""composite"": 75.9}",
53b99181,2026-03-01,MTDR,BUY,29,51.4,1490.6,48.83,61.68,SIGNAL,BULL,75.5,"{""momentum"": 88.7, ""volatility"": 49.8, ""volume"": 62.0, ""relative_strength"": 84.4, ""mean_reversion"": 63.6, ""rsi"": 75.0, ""composite"": 75.5}",
e9719603,2026-03-01,AEP,BUY,8,133.82,1070.56,127.13,160.58,SIGNAL,BULL,67.4,"{""momentum"": 81.3, ""volatility"": 77.4, ""volume"": 47.4, ""relative_strength"": 79.7, ""mean_reversion"": 67.4, ""rsi"": 35.0, ""composite"": 67.4}",
ef8ee641,2026-03-01,ETR,BUY,14,107.11,1499.54,101.75,128.53,SIGNAL,BULL,67.8,"{""momentum"": 83.6, ""volatility"": 75.8, ""volume"": 45.0, ""relative_strength"": 79.3, ""mean_reversion"": 71.1, ""rsi"": 35.0, ""composite"": 67.8}",
dd075f96,2026-03-01,SRE,BUY,15,96.27,1444.05,91.46,115.52,SIGNAL,BULL,64.2,"{""momentum"": 74.7, ""volatility"": 73.4, ""volume"": 46.3, ""relative_strength"": 74.8, ""mean_reversion"": 71.5, ""rsi"": 35.0, ""composite"": 64.2}",
9004e56d,2026-03-01,PCG,BUY,60,19.0,1140.0,18.05,22.8,SIGNAL,BULL,68.7,"{""momentum"": 96.4, ""volatility"": 67.7, ""volume"": 39.4, ""relative_strength"": 100, ""mean_reversion"": 52.0, ""rsi"": 10.0, ""composite"": 68.7}",
49e085c2,2026-03-01,CEG,BUY,1,329.88,329.88,313.39,395.86,SIGNAL,BULL,62.1,"{""momentum"": 71.1, ""volatility"": 33.6, ""volume"": 47.2, ""relative_strength"": 92.0, ""mean_reversion"": 24.6, ""rsi"": 55.0, ""composite"": 62.1}",
