date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-01,3657.29,11342.71,15000.0,0.0,0.0,6878.88
2026-03-02,3657.29,11596.26,15253.55,253.55,1.69,6881.62
2026-03-03,3657.29,11414.47,15071.76,-181.79,-1.19,300.74
2026-03-04,3657.29,11526.75,15184.04,112.28,0.74,53.53
2026-03-05,2660.45,12561.34,15221.79,37.75,0.25,15.36
2026-03-06,3141.28,12170.21,15311.49,89.7,0.59,6740.02
