transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
42a00783,2026-03-10,MRK,BUY,305,118.61,36176.05,100.61,142.33,SIGNAL,SIDEWAYS,0,{},
cd60feab,2026-03-10,EGP,BUY,248,192.87,47831.76,163.94,231.33,SIGNAL,SIDEWAYS,0,{},
b1bc9b1f,2026-03-10,OCS,BUY,1491,28.66,42732.06,24.34,34.39,SIGNAL,SIDEWAYS,0,{},
cfdc71e1,2026-03-10,IVA,BUY,5819,6.66,38754.54,5.67,7.99,SIGNAL,SIDEWAYS,0,{},
d3b997b0,2026-03-10,PRAX,BUY,151,318.41,48079.91,270.65,382.08,SIGNAL,SIDEWAYS,0,{},
9ce5548d,2026-03-10,UVSP,BUY,1513,33.82,51169.66,28.73,40.57,SIGNAL,SIDEWAYS,0,{},
134dc90b,2026-03-10,RY,BUY,746,167.09,124652.87,146.2,200.51,SIGNAL,SIDEWAYS,0,{},
137088bb,2026-03-10,TRMK,BUY,1491,42.19,62905.29,36.92,50.63,SIGNAL,SIDEWAYS,0,{},
1bafcff4,2026-03-10,UFCS,BUY,347,37.53,13022.91,32.9,45.03,SIGNAL,SIDEWAYS,0,{},
