date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-10,34674.95,459604.43,494279.38,0.0,0.0,6781.48
2026-03-11,34674.95,455382.62,490057.57,-4221.81,-0.85,6773.81
